 cylinders, $displacement, $horsepower, $weight, $acceleration, model, origin, <mpg,      $_X,      $_Y,  #     notes
         6,           250,         105,    3353,     14.500000,    76,      1,   22, 0.519944, 0.565487,            #
         4,            79,          67,    2000,            16,    74,      2,   31, 0.189091, 0.498268,            #
         4,           108,          94,    2379,     16.500000,    73,      3,   22, 0.358267, 0.531921,            #
         6,           200,          81,    3012,     17.600000,    76,      1,   24, 0.457445, 0.576387,            #
         6,           225,          95,    3264,            16,    75,      1,   19, 0.492842, 0.568582,            #
         3,            70,          90,    2124,     13.500000,    73,      3,   18, 0.421645, 0.618647,            #
         6,           232,          90,    3085,     17.600000,    76,      1, 22.5, 0.475978, 0.569959,            #
         6,           250,         105,    3459,            16,    75,      1,   18, 0.513513, 0.562776,            #
         4,           122,          85,    2310,     18.500000,    73,      1,   19, 0.408315, 0.479194,            #
         4,            85,          52,    2035,     22.200000,    76,      1,   29, 0.275319, 0.549510,            #
         6,           250,          72,    3432,            21,    75,      1,   15, 0.458104, 0.577866,            #
         6,           155,         107,    2472,            14,    73,      1,   21, 0.534266, 0.528653,            #
         4,            98,          60,    2164,     22.100000,    76,      1, 24.5, 0.289453, 0.542433,            #
         6,           250,          72,    3158,     19.500000,    75,      1,   15, 0.459456, 0.576241,            #
         4,            98,          90,    2265,     15.500000,    73,      2,   26, 0.288683, 0.457004,            #
         4,            90,          70,    1937,     14.200000,    76,      2,   29, 0.204296, 0.507717,            #
         8,           400,         170,    4668,     11.500000,    75,      1,   16, 0.737683, 0.473907,            #
         8,           350,         145,    4082,            13,    73,      1,   15, 0.744024, 0.360093,            #
         4,            91,          53,    1795,     17.400000,    76,      3,   33, 0.234839, 0.586491,            #
         8,           350,         145,    4440,            14,    75,      1,   15, 0.681773, 0.473206,            #
         8,           400,         230,    4278,      9.500000,    73,      1,   16, 0.846259, 0.353267,            #
         8,           318,         150,    4498,     14.500000,    75,      1,   16, 0.673524, 0.473405,            #
         4,            68,          49,    1867,     19.500000,    73,      2,   29, 0.213473, 0.466239,            #
         4,           116,          75,    2158,     15.500000,    73,      2,   24, 0.280967, 0.458252,            #
         4,           105,          75,    2230,     14.500000,    78,      1, 30.9, 0.352711, 0.545784,            #
         4,           134,          95,    2515,     14.800000,    78,      3, 21.1, 0.315613, 0.572173,            #
         8,           400,         180,    4220,     11.100000,    77,      1,   16, 0.733521, 0.472940,            #
         4,           156,         105,    2745,     16.700000,    78,      1, 23.2, 0.390833, 0.516689,            #
         8,           350,         170,    4165,     11.400000,    77,      1, 15.5, 0.707189, 0.472755,            #
         4,           151,          85,    2855,     17.600000,    78,      1, 23.8, 0.373161, 0.518834,            #
         8,           400,         190,    4325,     12.200000,    77,      1, 15.5, 0.736441, 0.470217,            #
         4,           119,          97,    2405,     14.900000,    78,      3, 23.9, 0.308228, 0.574723,            #
         8,           351,         149,    4335,     14.500000,    77,      1,   16, 0.678431, 0.471542,            #
         5,           131,         103,    2830,     15.900000,    78,      2, 20.3, 0.322563, 0.565656,            #
         4,            97,          78,    1940,     14.500000,    77,      2,   29, 0.210140, 0.503864,            #
         6,           163,         125,    3140,     13.600000,    78,      2,   17, 0.371888, 0.569078,            #
         4,           151,          88,    2740,            16,    77,      1, 24.5, 0.382005, 0.522289,            #
         4,           121,         115,    2795,     15.700000,    78,      2, 21.6, 0.261127, 0.486284,            #
         4,            97,          75,    2265,     18.200000,    77,      3,   26, 0.260805, 0.572064,            #
         6,           163,         133,    3410,     15.800000,    78,      2, 16.2, 0.371368, 0.561877,            #
         4,           140,          89,    2755,     15.800000,    77,      1, 25.5, 0.380919, 0.524138,            #
         4,            89,          71,    1990,     14.900000,    78,      2, 31.5, 0.201765, 0.502539,            #
         4,            98,          63,    2051,            17,    77,      1, 30.5, 0.320838, 0.546035,            #
         4,            98,          83,    2075,     15.900000,    77,      1, 33.5, 0.342252, 0.543107,            #
         6,           232,         112,    2835,     14.700000,    82,      1,   22, 0.435384, 0.512196,            #
         4,           144,          96,    2665,     13.900000,    82,      3,   32, 0.263146, 0.493283,            #
         4,            91,          68,    1985,            16,    81,      3, 34.1, 0.259792, 0.584338,            #
         4,           135,          84,    2370,            13,    82,      1,   36, 0.315618, 0.464268,            #
         4,           105,          63,    2215,     14.900000,    81,      1, 34.7, 0.341515, 0.548280,            #
         4,            98,          76,    2144,     14.700000,    80,      2, 41.5, 0.213978, 0.499750,            #
         4,           151,          90,    2950,     17.300000,    82,      1,   27, 0.314716, 0.434830,            #
         4,            98,          65,    2045,     16.200000,    81,      1, 34.4, 0.327158, 0.547645,            #
         4,            89,          60,    1968,     18.800000,    80,      3, 38.1, 0.235207, 0.578904,            #
         4,           140,          86,    2790,     15.600000,    82,      1,   27, 0.314569, 0.443969,            #
         4,            98,          65,    2380,     20.700000,    81,      1, 29.9, 0.308380, 0.536555,            #
         4,            98,          70,    2120,     15.500000,    80,      1, 32.1, 0.337327, 0.546886,            #
         4,            97,          52,    2130,     24.600000,    82,      2,   44,        0,        0,            #
         4,           105,          74,    2190,     14.200000,    81,      2,   33, 0.219448, 0.501619,            #
         4,            86,          65,    2019,     16.400000,    80,      3, 37.2, 0.254614, 0.583781,            #
         4,           135,          84,    2295,     11.600000,    82,      1,   32, 0.322343, 0.475607,            #
         4,           100,           ?,    2320,     15.800000,    81,      2, 34.5, 0.192436, 0.497764,            #
         4,           151,          90,    2678,     16.500000,    80,      1,   28, 0.378282, 0.521290,            #
         4,           120,          79,    2625,     18.600000,    82,      1,   28, 0.279171, 0.440003,            #
         4,           107,          75,    2210,     14.400000,    81,      3, 33.7, 0.286736, 0.583919,            #
         4,           140,          88,    2870,     18.100000,    80,      1, 26.4, 0.368941, 0.519062,            #
         4,           119,          82,    2720,     19.400000,    82,      1,   31, 0.278629, 0.437683,            #
         4,           108,          75,    2350,     16.800000,    81,      3, 32.4, 0.275872, 0.573045,            #
         4,           151,          90,    3003,     20.100000,    80,      1, 24.3, 0.364983, 0.515926,            #
         4,           119,         100,    2615,     14.800000,    81,      3, 32.9, 0.317262, 0.572847,            #
         6,           225,          90,    3381,     18.700000,    80,      1, 19.1, 0.475630, 0.569144,            #
         4,           120,          74,    2635,     18.300000,    81,      3, 31.6, 0.277994, 0.565763,            #
         4,            97,          78,    2188,     15.800000,    80,      2, 34.3, 0.209286, 0.492977,            #
         4,           134,          90,    2711,     15.500000,    80,      3, 29.8, 0.313636, 0.568484,            #
